movieid,user_name,rating,timestamp
31547,Rita Owens,4.5,1296194956
2254,Melissa Carr,3,948835068
1378,Aaron Castro,4,945295052
1378,Alyssa Keller,3,850725317
1378,Andrew Willis,4,1273542028
1378,Angela Thompson,4,1298861658
1378,Anthony Cook,4,945364920
1378,Billy Johnson,3,913232794
1378,Cheryl Sanders,3,1139003911
1378,Christina Miles,3.5,1128631063
1378,Clinton Spencer,2.5,1086093877
1378,Cody Johnson,1,957794929
1378,Crystal Spencer,3,940016621
1378,David Armstrong,4,907764831
1378,Eileen Newton,4,953271517
1378,James Ford,3,945836657
1378,Jennifer Berry,3.5,1273517822
1378,Jesse Bradley,4.5,1145393059
1378,Joel Hicks,4,1051712195
1378,Karen Avila,3,1019124528
1378,Kim Sutton,4.5,1227917977
1378,Michael Garcia,4,1307558438
1378,Misty Williams,2,855193244
1378,Mr. John Johns,4,946509801
1378,Nicole Ramsey,3,1224042777
1378,Robert Brooks,1,974838999
1378,Robert Bush,4,1111550815
1378,Ronald Kirk,4,965092432
1378,Teresa Graham,1.5,1471385606
1378,Thomas Foster,2,1091959622
1330,Anthony Cook,4,945364920
1330,Joel Hicks,2,1051711851
1330,Joseph Barrera,3,853894779
1330,Kevin Sexton,4,1019023569
1330,Robert Brooks,4,974709044
1330,Samantha Clarke,5,854376843
1330,Teresa Graham,2,1471386367
87304,Angela Garcia,0.5,1374638031
87304,Darlene Garcia,4.5,1319862609
87304,Dr. Angela Johnson,4,1467004505
1646,Anthony Cook,3,945365298
1646,Billy Johnson,2,913048077
1646,Cody Johnson,1,957481045
1646,Karen Avila,3,1019128658
1646,Kevin Salazar,4,955091870
1646,Larry Boyd,2,976422326
1646,Thomas Swanson,3,994729949
122924,Angela Garcia,2.5,1465793601
122924,Angela Robertson,3.5,1474255427
122924,Holly Miller,3,1469257690
1731,Robert Brooks,1,974838456
89090,Angela Garcia,1.5,1367801460
106236,Teresa Graham,3,1471389097
4025,Aaron Castro,3,1009341085
4025,Aaron Jackson,3,1218954850
4025,Adam Martin,3.5,1061361179
4025,Adam Williams,3,1371827890
4025,Amy Morton,4,986241107
4025,Angela Garcia,1,1044348492
4025,Angela Robertson,2.5,1256030443
4025,Ashley Smith,2,1433944510
4025,Benjamin Ward,2.5,1114308990
4025,Bill Stanley,4,1117843552
4025,Blake Lowery,2,1447778072
4025,Brittney Stewart,5,992838190
4025,Brooke Wagner MD,3,1172766108
4025,Bryan Brown,3,1460822943
4025,Christian Carter,4,1228963424
4025,Christina Winters,3,992888705
4025,Crystal Martinez,2,993086634
4025,Crystal Spencer,1,1037843317
4025,David Malone,3,1438019702
4025,David Villarreal,2,1041115726
4025,Deborah Hardy,3.5,1133022549
4025,Diana Bentley,2.5,1462640685
4025,Guy Davis,2,1201389763
4025,Heather Miller,2,1039390401
4025,James Smith,2,978700199
4025,Jason Thornton,3.5,1156205468
4025,Jennifer Berry,2,1167162947
4025,Jerry Robinson,1.5,1111479360
4025,Jesse Bradley,4,1145392919
4025,Jessica Leblanc,4,1049685090
4025,Joel Hicks,2,1051214827
4025,Jonathan Obrien,5,1327288563
4025,Joseph Williams,3,980859425
4025,Julie Nunez,4.5,1055278864
4025,Karen Avila,2,1056199601
4025,Larry Boyd,1.5,1151811810
4025,Lisa Foster,4,994622783
4025,Madison Oconnor,3,1112544156
4025,Manuel Morris,2.5,1451528317
4025,Marissa Choi,3,1076968965
4025,Michael Arnold,2.5,1217175695
4025,Michael Simmons,1.5,1461784048
4025,Miguel Marshall,3.5,1138729399
4025,Mr. Kevin Phillips,4,1459365549
4025,Noah Oneill,2,1012750465
4025,Oscar Harmon,4.5,1163375145
4025,Pamela Yates,3,1052883600
4025,Rita Owens,2,1296196927
4025,Sierra Chandler,2.5,1454913349
4025,Tanya Singleton,3,992232081
4025,Thomas Avila,1,1269735812
4025,Thomas Foster,2.5,1090908138
4025,Thomas Swanson,2,1004982771
33917,Darlene Garcia,4,1281472201
363,Christopher Thomas,3.5,1359647327
363,John Herrera,5,939049591
363,Mr. John Johns,4,946524933
363,Robert Brooks,5,974840424
363,Troy Mitchell,5,959938850
4010,Angela Garcia,2,1033345087
4010,David Washington,5,1026928393
4010,Dawn Wood,4.5,1116477433
4010,John Torres,3,1038954848
4010,Karen Avila,4,1019128227
4010,Nicholas Moore,5,991861164
4010,Robert Brooks,1,976224647
4010,Samuel Nguyen,3,1011715032
4010,Teresa Graham,2.5,1471386405
4010,Thomas Foster,3.5,1090909050
4010,Vincent Glass,2,1012596938
1425,Andrew White,2,979177851
1425,Anthony Cook,3,945364002
1425,Derrick Keith,4,891508001
1425,George Smith,1,879521715
1425,Karen Avila,2,1072546987
1425,Lori Cooper,4,956683048
1425,Robert Brooks,3,974716220
1425,Robert Bush,4,1111551525
1425,Sierra Chandler,3.5,1408780105
112582,Darlene Garcia,4,1409416746
251,Tamara Freeman,3,844687985
37731,Angela Robertson,4.5,1289377714
37731,Blake Lowery,3,1447327990
37731,Erin Jensen,3,1307177412
37731,Jose Miller,5,1284994225
37731,Joseph Shaffer,5,1256287408
37731,Lisa Miller,4.5,1292893813
37731,Melanie Mcfarland,3.5,1209425018
37731,Suzanne Avila,3.5,1151754940
37731,Theodore Barnett,3,1357253700
37731,Tiffany Phillips,1.5,1339455993
146309,Peggy Hahn,4,1463916694
26400,Rita Owens,4.5,1296195057
247,Angela Garcia,2,997938567
247,Angela Robertson,4,1378180010
247,Angela Thompson,3.5,1298861637
247,Ashley Smith,4,1434028372
247,Cassandra Rose,2,1064617041
247,Crystal Lane,5,957893897
247,Darlene Garcia,4,1028130173
247,Dylan Robinson,2,1127471027
247,Elizabeth Franklin,5,947292692
247,Elizabeth Garrison,3,834425209
247,Emma James,1,837512599
247,Erika Walsh,4,847271888
247,Felicia Green,4,939362390
247,Gary Turner,5,1366745345
247,George James,2,951009429
247,Jeffrey Harris,4,974769992
247,John Marshall,4,1344177302
247,Joseph Barrera,5,853894693
247,Julia Compton,4,1148673304
247,Larry Boyd,3,976419499
247,Leslie Brady,3,975365500
247,Luke Myers,5,848159905
247,Manuel Elliott,4,1165548015
247,Miguel Marshall,4,1139143221
247,Misty Williams,4,855191430
247,Monica Branch,4,834598355
247,Mr. John Johns,3,946526524
247,Mrs. Lisa Schultz,5,850779543
247,Nicole Durham,4,828214012
247,Parker Beck,3.5,1232976340
247,Renee Davis,3,832091461
247,Robert Brooks,5,974711049
247,Robert Bush,4.5,1111475786
247,Samantha Matthews DDS,5,842357664
247,Sarah Allen DDS,4,898110796
247,Sarah Martinez,1,1416148907
247,Sierra Thomas,3,1174450074
247,Steven Morris,3,847340345
247,Sue Mason,3.5,1131819606
247,Susan Campbell,3,980194842
247,Tamara Freeman,3,844687703
247,Tiffany Patterson,5,848526037
247,Troy Mitchell,4,959934767
8239,Erin Jensen,5,1307171842
8239,Julia Compton,3.5,1148672825
8239,Kenneth Snyder MD,5,1437002088
8239,Michelle Harris,4.5,1389727802
6254,Christopher Thomas,4.5,1082067042
6254,Darlene Garcia,3.5,1136761772
6254,Julie Nunez,4,1143739341
6254,Randy Blake,5,1223256716
6254,Rita Owens,3.5,1296191442
103210,Kenneth Snyder MD,3.5,1437106143
44911,Darlene Garcia,2,1230808981
148,Vincent Glass,4,1012605106
1608,Aaron Castro,5,945276984
1608,Aaron Jackson,3,1260704070
1608,Adam Martin,2.5,1097769709
1608,Amy Morton,5,986242424
1608,Andrew White,4,979179193
1608,Angela Garcia,1,1093070221
1608,Angela Robertson,3.5,1255501843
1608,Anthony Cook,4,945367833
1608,Anthony Espinoza,2.5,1131662271
1608,Benjamin Ward,3,1114308258
1608,Billy Johnson,3,915579236
1608,Brittney Stewart,4,1010197529
1608,Brooke Wagner MD,3,1172735144
1608,Catherine Gonzalez,4,1112747039
1608,Catherine Trujillo,4.5,1475783707
1608,Cheryl Valenzuela MD,4,965070810
1608,Christopher Chandler,3,897771131
1608,Clinton Spencer,3,1086095002
1608,Crystal Hunt,3,942669782
1608,Crystal Martinez,2,993089435
1608,David Hahn,4,1011318388
1608,Deborah Hardy,3,1105355232
1608,Derrick Collier,3,1340413963
1608,Diana Bentley,4,1462634565
1608,Dr. Angela Johnson,4,1467094780
1608,Eileen Newton,4,953272077
1608,George Smith,4,879502256
1608,Guy Davis,1,1201389326
1608,Hannah Bishop,2.5,1446664047
1608,Heather Scott,3,1153417461
1608,James Smith,3,975418810
1608,Jenna Harrell,4,1108044003
1608,Jesse Bradley,4.5,1145392224
1608,Jessica Leblanc,3,1049683220
1608,Joel Hicks,2,1049922869
1608,Johnny Malone,2,875515030
1608,Jordan Brown,4,1194743647
1608,Julia Compton,2.5,1148669045
1608,Julie Nunez,3.5,1082753092
1608,Justin Garcia,1,1018681624
1608,Karen Avila,3,1019132896
1608,Katherine Martin,3,1455642853
1608,Kenneth Daniels,3.5,1462947597
1608,Kevin Lee,3,1125523087
1608,Kevin Salazar,4,955087343
1608,Kimberly Long,3.5,1334343175
1608,Larry Boyd,4,976423977
1608,Lee Shelton,4,1452849591
1608,Lori Cooper,5,956684438
1608,Lori Hernandez,3,1314896751
1608,Marissa Choi,4,898007806
1608,Melissa Carr,4,939715948
1608,Michael Hill,5,961127761
1608,Miguel Marshall,2.5,1138658678
1608,Mr. Douglas Aguirre,3,948576763
1608,Mrs. Lisa Bradshaw,4,941489074
1608,Richard Brown,2,974697780
1608,Robert Brooks,2,974839071
1608,Robert Gallegos,2.5,1276157501
1608,Ronald Kirk,4,965543090
1608,Sandy Jones,4,973440238
1608,Seth Garrison,4,907380884
1608,Steven Rich,3,1097431614
1608,Susan Campbell,3,980174606
1608,Teresa Graham,1.5,1471385539
1608,Thomas Avila,4,1269735288
1608,Thomas Foster,1.5,1090908539
1608,Thomas Swanson,2,949368924
1608,Tiffany Phillips,4.5,1339285505
1608,William Weber,3,1024930416
4703,Christian Carter,4,1228921470
4703,Darlene Garcia,3.5,1076968525
4703,Larry Boyd,3,1002938231
4679,Angela Garcia,3,997937519
4679,Cheryl Sanders,4,1138997969
4679,Clinton Spencer,4,1086094125
4679,Crystal Strong,3,999350539
4679,Cynthia Owens,5,1032679978
4679,Darlene Garcia,3,1022678444
4679,David Villarreal,3,1041115283
4679,Karen Avila,3,1019127943
4679,Rita Owens,2.5,1296201702
4679,Teresa Graham,2.5,1471387441
2352,Aaron Castro,4,948070285
2352,Aaron Jackson,3,1218402519
2352,Antonio Hunter,3,965316627
2352,Benjamin Wall,5,940364249
2352,Billy Johnson,4,952582353
2352,Bryce White,4,954684715
2352,Clinton Spencer,3.5,1085581448
2352,Cody Johnson,2,957480270
2352,Crystal Lane,3,957893897
2352,Crystal Spencer,4,940015014
2352,Darlene Garcia,4.5,1053171088
2352,David Weaver DVM,5,978418047
2352,Derrick Collier,3.5,1340404018
2352,James Ford,3,945836302
2352,James Smith,4,976288550
2352,James Whitehead,4,974671067
2352,Jennifer Berry,4,1167161729
2352,Jessica Herring,4,974257712
2352,Joel Hicks,3,1051711487
2352,Kevin Salazar,5,955093207
2352,Kimberly Gardner,4,956858792
2352,Larry Boyd,4,976421652
2352,Leslie Brady,5,975363236
2352,Lori Cooper,5,956687526
